,gbifID,year,taxonID,scientificName,kingdom,phylum,class,order,family,subfamily,genus,subgenus,taxonRank,genericName,vernacularName,continent,country,municipality,locality,decimalLatitude,decimalLongitude,geodeticDatum
21561,4121315373,,118041,Abortiporus biennis,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,,Abortiporus,,species,,,,,,,43.8635452418,21.4785075188,EPSG:4326
595168,1994900854,1910,86578,Aecidium lithospermi,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,,Aecidium,,Species,,,,Serbia,Topcider,,,,
18921,4023670138,,http://tun.fi/MX.70623,Agaricales,Fungi,,,,,,,,order,,,,Serbia,,"Homolje, Debeli Lug",,,EPSG:4326
598972,4127003374,,58699,Agaricus arvensis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,45.491401,20.2471862,EPSG:4326
28016,3302399460,,49547,Agaricus augustus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,43.90845,19.4225129722,EPSG:4326
32371,1677295320,,480761,Agaricus benesii,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,43.3763563808,21.9974184036,EPSG:4326
28377,3988471658,,61395,Agaricus bisporus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,45.2608290519,19.8331895471,EPSG:4326
402673,4116064411,,58696,Agaricus bitorquis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,44.7918560996,20.412610732,EPSG:4326
138177,3079657173,,480762,Agaricus bohusii,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,45.800144,20.140643,EPSG:4326
383498,4129847802,,179697,Agaricus bresadolanus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,45.2474472222,19.800325,EPSG:4326
34581,2992792550,,143563,Agaricus campestris,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,43.928696,19.5380409722,EPSG:4326
603410,1847643145,,480765,Agaricus langei,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,43.2848753205,20.8006381989,EPSG:4326
135724,3985729527,,118382,Agaricus moelleri,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,45.1532818194,19.5055321816,EPSG:4326
28417,3455876620,,350003,Agaricus porphyrocephalus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,45.1597993,19.4988706,EPSG:4326
29794,3416110853,,480776,Agaricus sylvaticus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,45.1569068302,19.8040341941,EPSG:4326
18146,3915425816,,154291,Agaricus sylvicola,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,45.1783193768,19.8520220071,EPSG:4326
374118,2823344311,,411042,Agaricus urinascens,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,44.749486,20.532166,EPSG:4326
18360,1703154074,,118394,Agaricus xanthodermus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Agaricus,,species,,,,,,,45.7959479212,20.1399457455,EPSG:4326
4279,4134097226,,381183,Agrocybe acericola,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,,Agrocybe,,species,,,,,,,43.9328721997,19.4902461,EPSG:4326
388318,4127244449,,354697,Agrocybe molesta,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,,Agrocybe,,species,,,,,,,45.2290045631,19.8484617099,EPSG:4326
349909,3772487026,,118393,Agrocybe pediades,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,,Agrocybe,,species,,,,,,,44.8114430769,20.4011099574,EPSG:4326
594408,3301973615,,118391,Agrocybe praecox,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,,Agrocybe,,species,,,,,,,44.7496625387,20.5323314667,EPSG:4326
155093,1677328798,,48716,Aleuria aurantia,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,,Aleuria,,species,,,,,,,42.831986,21.812432,EPSG:4326
16333,3351805293,,ASV:5562d6a88c8b11db0cad181813036fd4,Aleurina tenuiverrucosa,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,,Aleurina,,,,,,Serbia,,,,,
143649,3348257432,,ASV:27f259a54ddda1eb64bb046a1f5744ca,Alternaria alternata,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,Alternaria,,,,,,Serbia,,,,,
157382,3350475900,,ASV:7d853a1f2fb08a9f67d21e6919cdcadd,Alternaria brassicae,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,Alternaria,,,,,,Serbia,,,,,
596818,2268245339,1909,204536,Alternaria crassa,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,Alternaria,,,,,,Serbia,Raca,,,,
154518,3346229549,,ASV:baacf601178a7fde4770a0ca53a35113,Alternaria petroselini,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,Alternaria,,,,,,Serbia,,,,,
28111,3764159973,,350029,Amanita argentea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,45.1705562362,19.7048810718,EPSG:4326
138271,4137619661,,363601,Amanita battarrae,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,43.4276966667,21.3984216667,EPSG:4326
138255,3415456237,,204588,Amanita caesarea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,45.1588888889,19.8447222222,EPSG:4326
358251,4028887676,,1414516,Amanita calida,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,44.1973024271,19.771390873,EPSG:4326
605286,4103212767,,154366,Amanita ceciliae,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,45.1713686716,19.7288468823,EPSG:4326
20670,3455384267,,63271,Amanita citrina,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,44.5980644167,19.5065364722,EPSG:4326
396269,1677342017,,350033,Amanita crocea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,43.2684015967,22.1645092964,EPSG:4326
384582,1703163250,,350037,Amanita echinocephala,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,44.776097,20.378813,EPSG:4326
136536,3112533391,,481223,Amanita eliae,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,45.129715,19.800412,EPSG:4326
205120,3455978906,,119999,Amanita excelsa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,45.1484361111,19.7075555556,EPSG:4326
27499,1847643319,,119998,Amanita excelsa spissa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,variety,,,,,,,43.2898891959,20.8053588867,EPSG:4326
382776,3915600390,,118396,Amanita franchetii,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,43.7741616667,21.9279883333,EPSG:4326
18337,3858938325,,424822,Amanita franchetii lactella,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,variety,,,,,,,43.7760366667,21.9281466667,EPSG:4326
384525,1677295095,,63027,Amanita fulva,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,44.376982,19.349669,EPSG:4326
30701,4006653567,,542719,Amanita fulvoides,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,43.9230175803,19.5056128062,EPSG:4326
385171,3925277641,,1134249,Amanita huijsmanii,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,43.5564416667,20.7197033333,EPSG:4326
578857,3407912157,,350046,Amanita junquillea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,45.1480277778,19.7072972222,EPSG:4326
22543,3903405234,,626853,Amanita lividopallescens,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,45.1708333333,19.6408333333,EPSG:4326
24440,3903385912,,987384,Amanita magnivolvata,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,43.5006133333,20.8756116667,EPSG:4326
402259,1671729559,,48715,Amanita muscaria,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,44.3723674136,19.3158960342,EPSG:4326
134140,2239057694,,244732,Amanita muscaria aureola,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,variety,,,,,,,43.2887958627,20.8052301407,EPSG:4326
384248,2802620342,,1099136,Amanita muscaria formosa,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,variety,,,,,,,43.3233669115,20.8122253418,EPSG:4326
349667,1802660169,,48706,Amanita muscaria muscaria,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,subspecies,,,,,,,43.3892690598,21.9972896576,EPSG:4326
32797,4138290674,,987385,Amanita olivaceogrisea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,43.428875,21.4078466667,EPSG:4326
32540,3915438147,,332463,Amanita ovoidea,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,45.1922388997,19.6796426,EPSG:4326
535165,3903024525,,48418,Amanita pantherina,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,45.173011236,19.8079660535,EPSG:4326
31526,3925147251,,52135,Amanita phalloides,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,43.9139358127,19.4215096906,EPSG:4326
401317,3039465438,,464151,Amanita regalis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,42.98751,20.125312,EPSG:4326
607044,1703155008,,67661,Amanita rubescens,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,42.8650110715,22.0088663714,EPSG:4326
384751,2992772403,,350059,Amanita solitaria,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,,Amanita,,species,,,,,,,44.3082168,20.5562765,EPSG:4326
