,taxon.name,taxon.id,taxon.rank,count,taxon.observations_count,taxon.ancestor_ids
0,Amanita rubescens,67661,species,149,18062,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142598, 932781, 67661]"
1,Schizophyllum commune,54573,species,144,41467,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 905658, 54574, 54575, 54573]"
2,Amanita muscaria,48715,species,124,75043,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142599, 954920, 1155969, 48715]"
3,Amanita pantherina,48418,species,119,6101,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142599, 954920, 1144756, 48418]"
4,Auricularia auricula-judae,50813,species,115,10830,"[48460, 47170, 47169, 492000, 50814, 50815, 50816, 50817, 1138427, 50813]"
5,Laetiporus sulphureus,53713,species,114,38747,"[48460, 47170, 47169, 492000, 50814, 47380, 895657, 48431, 53713]"
6,Macrolepiota procera,63401,species,113,15469,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 63402, 63401]"
7,Trametes versicolor,54134,species,110,89962,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 1153556, 54134]"
8,Fomitopsis pinicola,1098280,species,97,17964,"[48460, 47170, 47169, 492000, 50814, 47380, 55974, 118056, 1098279, 1098280]"
9,Fomes fomentarius,127510,species,86,31422,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 127511, 127510]"
10,Auricularia mesenterica,332467,species,83,2050,"[48460, 47170, 47169, 492000, 50814, 50815, 50816, 50817, 1138505, 332467]"
11,Coprinus comatus,47392,species,82,41253,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 516951, 47393, 47392]"
12,Boletus reticulatus,350216,species,78,2738,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1135850, 48703, 350216]"
13,Hypholoma fasciculare,48767,species,76,25058,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48768, 48769, 48767]"
14,Ganoderma lucidum,125932,species,76,1684,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 48475, 1106981, 125932]"
15,Trametes hirsuta,116695,species,71,12997,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 116695]"
16,Omphalotus olearius,64021,species,70,1307,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 64014, 64021]"
17,Flammulina velutipes,67594,species,69,13681,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55931, 67595, 67594]"
18,Lycoperdon perlatum,48443,species,68,26331,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48445, 48444, 48443]"
19,Marasmius oreades,118240,species,66,18199,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 49545, 54067, 118240]"
20,Trametes gibbosa,410641,species,65,14697,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 410641]"
21,Mycena renati,464807,species,65,553,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 55922, 464807]"
22,Coprinopsis picacea,63224,species,63,5456,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 48522, 1180067, 63224]"
23,Xanthoria parietina,55576,species,61,48661,"[48460, 47170, 48250, 372740, 54743, 952186, 54755, 54756, 1232042, 54757, 55576]"
24,Lentinus tigrinus,351365,species,61,3153,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 68311, 1203427, 351365]"
25,Boletus aereus,333772,species,60,572,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1135850, 48703, 333772]"
26,Cantharellus pallens,626851,species,59,515,"[48460, 47170, 47169, 492000, 50814, 47350, 48423, 47348, 1374657, 626851]"
27,Pleurotus ostreatus,48494,species,57,22862,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 905657, 48495, 48496, 1196165, 48494]"
28,Oudemansiella radicata,383374,species,56,2875,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55931, 55965, 1228819, 383374]"
29,Phallus impudicus,54594,species,54,6296,"[48460, 47170, 47169, 492000, 50814, 891028, 48708, 51136, 54593, 54594]"
30,Stereum hirsutum,55501,species,53,25163,"[48460, 47170, 47169, 492000, 50814, 48341, 55502, 55503, 55501]"
31,Amanita caesarea,204588,species,53,797,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142599, 906595, 204588]"
32,Trichaptum biforme,125705,species,50,22729,"[48460, 47170, 47169, 492000, 50814, 57519, 57518, 118119, 125705]"
33,Suillus granulatus,179065,species,48,6333,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 1432580, 53489, 53490, 179065]"
34,Russula virescens,125720,species,45,1417,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 48339, 1167952, 1370587, 125720]"
35,Cerioporus squamosus,940028,species,45,44860,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 895268, 940028]"
36,Russula cyanoxantha,194437,species,44,4745,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 48339, 1167952, 1396253, 194437]"
37,Armillaria mellea,55950,species,43,22078,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55931, 55930, 55950]"
38,Bolbitius titubans,55474,species,42,14456,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 55472, 55473, 55474]"
39,Bjerkandera adusta,118038,species,42,10323,"[48460, 47170, 47169, 492000, 50814, 47380, 118075, 118047, 118038]"
40,Cyclocybe aegerita,874974,species,42,1500,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 578451, 874974]"
41,Phellinus pomaceus,410639,species,41,1498,"[48460, 47170, 47169, 492000, 50814, 57519, 57518, 118087, 410639]"
42,Fistulina hepatica,123897,species,40,5519,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 905658, 54574, 123895, 123897]"
43,Pluteus cervinus,60782,species,39,19382,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 48420, 60783, 1366821, 60782]"
44,Panellus stipticus,68309,species,39,8941,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 68308, 68309]"
45,Artomyces pyxidatus,334704,species,39,14639,"[48460, 47170, 47169, 492000, 50814, 48341, 55176, 136343, 334704]"
46,Amanita phalloides,52135,species,38,5739,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142598, 926048, 52135]"
47,Daedaleopsis confragosa,124102,species,38,12014,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 124103, 124102]"
48,Daedaleopsis tricolor,940416,species,38,1349,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 124103, 940416]"
49,Coprinellus micaceus,56318,species,37,27321,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 56315, 947427, 56318]"
50,Calocybe gambosa,450829,species,36,1688,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 118247, 358134, 450829]"
51,Daedalea quercina,55973,species,35,6292,"[48460, 47170, 47169, 492000, 50814, 47380, 55974, 55975, 55973]"
52,Clitocybe nebularis,63255,species,35,8904,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1155395, 1128513, 54625, 63255]"
53,Amanita citrina,63271,species,35,6494,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142598, 932781, 1144777, 63271]"
54,Psilocybe serbica,518938,species,35,100,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 416512, 54026, 518938]"
55,Megacollybia platyphylla,1097548,species,35,1204,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 416511, 63285, 1097548]"
56,Craterellus cornucopioides,48607,species,34,1631,"[48460, 47170, 47169, 492000, 50814, 47350, 48423, 48611, 1398876, 48607]"
57,Hericium coralloides,49162,species,34,7973,"[48460, 47170, 47169, 492000, 50814, 48341, 49159, 49160, 49162]"
58,Chroogomphus rutilus,194275,species,34,882,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48426, 48640, 1447333, 1447337, 194275]"
59,Lepista sordida,332507,species,34,1478,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 787526, 1155395, 1128513, 55591, 332507]"
60,Volvopluteus gloiocephalus,348720,species,34,12590,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 48420, 379669, 348720]"
61,Macrolepiota mastoidea,351447,species,34,793,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 63402, 1398105, 351447]"
62,Exidia glandulosa,55568,species,32,8338,"[48460, 47170, 47169, 492000, 50814, 50815, 50816, 55569, 55568]"
63,Mycena pura,63473,species,32,4501,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55920, 55922, 1101287, 1370907, 63473]"
64,Merulius tremellosus,179113,species,32,10832,"[48460, 47170, 47169, 492000, 50814, 47380, 118046, 179117, 179113]"
65,Laccaria laccata,63236,species,31,16293,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 351075, 54895, 63236]"
