,taxon.name,taxon.id,taxon.rank,count,taxon.observations_count,taxon.ancestor_ids
0,Amanita rubescens,67661,species,183,18062,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142598, 932781, 67661]"
1,Trametes versicolor,54134,species,172,89962,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 1153556, 54134]"
2,Fomes fomentarius,127510,species,168,31422,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 127511, 127510]"
3,Schizophyllum commune,54573,species,161,41467,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 905658, 54574, 54575, 54573]"
4,Macrolepiota procera,63401,species,149,15469,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 47394, 63402, 63401]"
5,Amanita pantherina,48418,species,136,6101,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142599, 954920, 1144756, 48418]"
6,Auricularia auricula-judae,50813,species,136,10830,"[48460, 47170, 47169, 492000, 50814, 50815, 50816, 50817, 1138427, 50813]"
7,Stereum hirsutum,55501,species,130,25163,"[48460, 47170, 47169, 492000, 50814, 48341, 55502, 55503, 55501]"
8,Laetiporus sulphureus,53713,species,127,38747,"[48460, 47170, 47169, 492000, 50814, 47380, 895657, 48431, 53713]"
9,Amanita muscaria,48715,species,125,75043,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142599, 954920, 1155969, 48715]"
10,Trametes hirsuta,116695,species,123,12997,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 116695]"
11,Fomitopsis pinicola,1098280,species,116,17964,"[48460, 47170, 47169, 492000, 50814, 47380, 55974, 118056, 1098279, 1098280]"
12,Hypholoma fasciculare,48767,species,114,25058,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48768, 48769, 48767]"
13,Boletus reticulatus,350216,species,113,2738,"[48460, 47170, 47169, 492000, 50814, 1094814, 48427, 48702, 1135850, 48703, 350216]"
14,Marasmius oreades,118240,species,105,18199,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 49545, 54067, 118240]"
15,Pluteus cervinus,60782,species,104,19382,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 48420, 60783, 1366821, 60782]"
16,Cantharellus pallens,626851,species,103,515,"[48460, 47170, 47169, 492000, 50814, 47350, 48423, 47348, 1374657, 626851]"
17,Russula cyanoxantha,194437,species,101,4745,"[48460, 47170, 47169, 492000, 50814, 48341, 48340, 48339, 1167952, 1396253, 194437]"
18,Auricularia mesenterica,332467,species,101,2050,"[48460, 47170, 47169, 492000, 50814, 50815, 50816, 50817, 1138505, 332467]"
19,Oudemansiella radicata,383374,species,99,2875,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55931, 55965, 1228819, 383374]"
20,Ganoderma lucidum,125932,species,91,1684,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 48475, 1106981, 125932]"
21,Trametes gibbosa,410641,species,91,14697,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 410641]"
22,Flammulina velutipes,67594,species,90,13681,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55931, 67595, 67594]"
23,Coprinus comatus,47392,species,88,41253,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 516951, 47393, 47392]"
24,Lycoperdon perlatum,48443,species,85,26331,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48445, 48444, 48443]"
25,Coprinellus micaceus,56318,species,84,27321,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 56315, 947427, 56318]"
26,Omphalotus olearius,64021,species,84,1307,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 64013, 64014, 64021]"
