MAMMALIA – СИСАРИ,,,,
РЕД,ПОРОДИЦА,"ВРСТАНаучни назив","ВРСТАСрпски назив",НАПОМЕНА
"Canidae(пси)",Canis lupus,Вук,"*, 1-II (резерва), Рез  6; 4-II/IV",
"Felidae(мачке)",Lynx lynx,Рис,"1-III, Рез  6; 4-II/IV",
"",Felis silvestris,Дивља мачка,"*, 1-II (резерва); 4-IV",
"Mustelidae(куне)",Lutra lutra,Видра,"1-II, Рез  6; 4-II/IV",
"",Mustela erminea,Хермелин,1-III,
"",Mustela eversmanii,Степски твор,1-II; 4-II/IV,
"",Vormela peregusna,Шарени твор,1-II; 4-II/IV,
"Ursidae(медведи)",Ursus arctos,Мрки медвед,"1-II, Рез  6; 4-II/IV",
"Rhinolophidae(потковичари)",Rhinolophus blasii,Средоземни потковичар,"1-II, Рез  6; 4-II/IV",
Rhinolophus euryale,Јужни потковичар,"1-II, Рез  6; 4-II/IV",,
Rhinolophus ferrumequinum,Велики потковичар,"1-II, Рез  6; 4-II/IV",,
Rhinolophus hipposideros,Мали потковичар,"1-II, Рез  6; 4-II/IV",,
Rhinolophus mehelyi,Тамнооки потковичар,"1-II, Рез  6; 4-II/IV",,
Barbastella barbastellus,Широкоухи љиљак,"1-II, Рез  6; 4-II/IV",,
Eptesicus serotinus,Велики поноћњак,"1-II, Рез  6; 4-IV",,
Hypsugo savii,Планински слепи мишић,1-II; 4-/IV,,
Miniopterus schreibersii,Дугокрили љиљак,"1-II, Рез  6; 4-II/IV",,
Myotis alcathoe,Мали бркати вечерњак,1-II; 2-II; 4-IV,,
Myotis bechsteinii,Дугоухи вечерњак,"1-II, Рез  6; 4-II/IV",,
Myotis blythii,Мали мишоухи вечерњак,"1-II, Рез  6; 4-II/IV",,
Myotis brandtii,Велики бркати вечерњак,"1-II, Рез  6; 4-IV",,
Myotis capaccinii,Дугопрсти вечерњак,"1-II, Рез  6; 4-II/IV",,
Myotis dasycneme,Барски вечерњак,"1-II, Рез  6; 4-II/IV",,
Myotis daubentonii,Водени вечерњак,1-II; 4-IV,,
Myotis emarginatus,Шиљоухи вечерњак,"1-II, Рез  6; 4-II/IV",,
Myotis myotis,Велики мишоухи вечерњак,"1-II, Рез  6; 4-II/IV",,
Myotis mystacinus,Црни бркати вечерњак,"1-II, Рез  6; 4-IV",,
Myotis nattereri,Ресасти вечерњак,1-II; 4-IV,,
Nyctalus leisleri,Мали ноћник,1-II; 4-IV,,
Nyctalus noctula,Средњи ноћник,1-II; 4-IV,,
Pipistrellus kuhlii,Белоруби слепи мишић,1-II; 4-IV,,
