,taxon.name,taxon.id,taxon.rank,count,taxon.observations_count,taxon.ancestor_ids
0,Trametes versicolor,54134,species,88902,89335,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 47378, 1153556, 54134]"
1,Amanita muscaria,48715,species,73501,74174,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785522, 118249, 1149497, 48419, 1142599, 954920, 1155969, 48715]"
2,Xanthoria parietina,55576,species,48172,48314,"[48460, 47170, 48250, 372740, 54743, 952186, 54755, 54756, 1232042, 54757, 55576]"
3,Cerioporus squamosus,940028,species,44337,44597,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 895268, 940028]"
4,Schizophyllum commune,54573,species,40983,41106,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 905658, 54574, 54575, 54573]"
5,Coprinus comatus,47392,species,40659,41001,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 516951, 47393, 47392]"
6,Laetiporus sulphureus,53713,species,37898,38221,"[48460, 47170, 47169, 492000, 50814, 47380, 895657, 48431, 53713]"
7,Flavoparmelia caperata,117943,species,36859,36980,"[48460, 47170, 48250, 372740, 54743, 952186, 48327, 54321, 1094690, 117951, 117943]"
8,Fomes fomentarius,127510,species,31018,31158,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 127511, 127510]"
9,Coprinellus micaceus,56318,species,26915,27066,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 56310, 56315, 947427, 56318]"
10,Apioperdon pyriforme,972793,species,26534,26659,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48445, 972792, 972793]"
11,Tremella mesenterica,48529,species,25837,25965,"[48460, 47170, 47169, 492000, 83737, 48530, 48531, 48532, 48529]"
12,Lycoperdon perlatum,48443,species,25530,25691,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48445, 48444, 48443]"
13,Fomitopsis betulina,775410,species,25163,25260,"[48460, 47170, 47169, 492000, 50814, 47380, 55974, 118056, 775410]"
14,Stereum hirsutum,55501,species,24910,24992,"[48460, 47170, 47169, 492000, 50814, 48341, 55502, 55503, 55501]"
15,Hypholoma fasciculare,48767,species,24672,24796,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785517, 48768, 48769, 48767]"
16,Parmelia sulcata,54734,species,24013,24070,"[48460, 47170, 48250, 372740, 54743, 952186, 48327, 54321, 1094690, 54735, 54734]"
17,Ganoderma applanatum,48473,species,23483,23620,"[48460, 47170, 47169, 492000, 50814, 47380, 47379, 48475, 559675, 1129535, 48473]"
18,Pleurotus ostreatus,48494,species,22630,22795,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 905657, 48495, 48496, 1196165, 48494]"
19,Trichaptum biforme,125705,species,22367,22432,"[48460, 47170, 47169, 492000, 50814, 57519, 57518, 118119, 125705]"
20,Armillaria mellea,55950,species,21866,22037,"[48460, 47170, 47169, 492000, 50814, 1094814, 47167, 785516, 55931, 55930, 55950]"
